Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
51,2.0,0.0,0.0,588.0,11.0,35.0,2599.0,0.1,1072.159790294313,0.0,0.0,417.23448157310486,,,,,,,,,,,,,,,,,,,,,501.11774639251934,297.04766618121,914.9766136689432,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,611.0,12.0,23.0,2622.0,0.1,525.6540716411594,0.0,0.0,419.64546036720276,,,,,,,,,,,,,,,,,,,,,252.22979458461862,157.71864565660854,477.1362298609295,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,641.0,13.0,30.0,2652.0,0.1,894.8605777703282,0.0,0.0,422.7742590904236,,,,,,,,,,,,,,,,,,,,,428.1339609817861,256.30529336071055,781.9818278500072,-0.026730900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,728.0,14.0,87.0,2739.0,0.1,3846.8242877479693,0.0,0.0,430.50260376930237,,,,,,,,,,,,,,,,,,,,,1586.8776371700953,825.8398469106279,2516.315420273425,-0.030135052800000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,763.0,15.0,35.0,2774.0,0.1,946.394253697495,0.0,0.0,433.8536846637726,,,,,,,,,,,,,,,,,,,,,439.1150071518083,264.8629953938877,808.7991033510478,-0.0337170528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,830.0,16.0,67.0,2841.0,0.1,2346.0763598492554,0.0,0.0,439.87301206588745,,,,,,,,,,,,,,,,,,,,,925.5672898524668,592.1249455103657,1760.9899761739634,-0.014328000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,893.0,17.0,63.0,2904.0,0.1,2632.374012094567,0.0,0.0,445.5544650554657,,,,,,,,,,,,,,,,,,,,,1149.469787827784,628.8566833528054,1946.9523984930745,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,948.0,18.0,55.0,2959.0,0.1,1935.5055008182571,0.0,0.0,450.77883768081665,,,,,,,,,,,,,,,,,,,,,887.0174016484136,479.03033176407297,1477.0390061336889,-0.023166720000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,991.0,19.0,43.0,3002.0,0.1,1566.3680528761138,0.0,0.0,454.7340078353882,,,,,,,,,,,,,,,,,,,,,749.0149171078799,419.81213574053487,1269.5557989181982,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1022.0,20.0,31.0,3033.0,0.1,967.9460625747712,0.0,0.0,457.70329761505127,,,,,,,,,,,,,,,,,,,,,462.88899443616907,270.5282283136884,841.1901584527685,-0.024948900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,24.0,1.0,24.0,3057.0,0.1,599.6430058013401,0.0,0.0,542.4877243041992,,,,,,,,,,,,,,,,,,,,,277.43479791096735,180.3433830362821,543.8819041962128,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,60.0,2.0,36.0,3093.0,0.1,1181.8150163851753,0.0,0.0,545.9290976524353,,,,,,,,,,,,,,,,,,,,,571.7360724701498,313.42754759543993,995.8065812630563,-0.014328000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,87.0,3.0,27.0,3120.0,0.1,750.7575980761261,0.0,0.0,548.5803229808807,,,,,,,,,,,,,,,,,,,,,355.6243727971474,222.02282762453487,668.0328715650408,-0.023148900000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,106.0,4.0,19.0,3139.0,0.1,388.03412844466914,0.0,0.0,550.5802364349365,,,,,,,,,,,,,,,,,,,,,164.47267498653503,128.01839596009737,364.028487090325,-0.03366359100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,128.0,5.0,22.0,3161.0,0.1,489.30209893353,0.0,0.0,553.0107977390289,,,,,,,,,,,,,,,,,,,,,235.11074166523284,148.30123583129054,446.4623362587275,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,205.0,6.0,77.0,3238.0,0.1,3115.7839515725036,0.0,0.0,559.8759386539459,,,,,,,,,,,,,,,,,,,,,1416.8374059587713,721.0544234793311,2240.901530284751,-0.024966720000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,276.0,7.0,71.0,3309.0,0.1,2344.05945195445,0.0,0.0,566.2838983535767,,,,,,,,,,,,,,,,,,,,,1048.5430900251708,512.7166991016314,1632.072092680928,-0.024948900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,355.0,8.0,79.0,3388.0,0.1,3051.216056459136,0.0,0.0,573.3717231750488,,,,,,,,,,,,,,,,,,,,,1301.1403767268916,663.81758998617,2064.442330956137,-0.023148900000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,404.0,9.0,49.0,3437.0,0.1,1552.6892663844555,0.0,0.0,577.862868309021,,,,,,,,,,,,,,,,,,,,,764.3784525906021,380.94217250917313,1202.0649164524646,-0.021384720000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
